Timestamp,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Ignore
2023-05-06 00:01:00,29491.82,29504.57,29484.05,29504.57,25.77417,1683331319999,760145.1655735,240,8.7284,257418.6238307,0
2023-05-06 00:02:00,29504.56,29513.84,29503.85,29505.0,23.87861,1683331379999,704682.2846532,226,5.19461,153282.6073963,0
2023-05-06 00:03:00,29505.17,29515.0,29505.17,29514.99,4.6572,1683331439999,137436.5353313,123,1.60691,47419.2066705,0
2023-05-06 00:04:00,29514.99,29514.99,29494.13,29500.87,35.3642,1683331499999,1043483.8272508,330,2.9172,86049.6753454,0
2023-05-06 00:05:00,29501.05,29504.99,29496.64,29504.51,14.15991,1683331559999,417773.2163541,194,1.44602,42661.131297,0
2023-05-06 00:06:00,29504.5,29513.84,29493.29,29493.29,3.94507,1683331619999,116398.7999335,112,1.82088,53731.293929,0
2023-05-06 00:07:00,29492.94,29503.87,29492.93,29499.77,6.86988,1683331679999,202673.7879499,85,0.95252,28098.5368803,0
2023-05-06 00:08:00,29499.78,29505.01,29499.77,29504.96,4.42035,1683331739999,130417.1352258,87,3.99303,117809.2032131,0
2023-05-06 00:09:00,29504.96,29504.97,29501.83,29501.84,1.07163,1683331799999,31617.152353,60,0.48916,14431.5798347,0
2023-05-06 00:10:00,29501.83,29505.99,29501.83,29505.66,1.1755,1683331859999,34683.4621837,68,0.34554,10195.0768354,0
2023-05-06 00:11:00,29505.66,29520.22,29505.66,29520.22,4.43213,1683331919999,130815.7075264,177,3.70049,109221.0388688,0
2023-05-06 00:12:00,29521.68,29526.69,29521.67,29526.69,0.36049,1683331979999,10643.1648006,66,0.25537,7539.7344303,0
2023-05-06 00:13:00,29526.68,29526.69,29515.18,29517.0,3.21902,1683332039999,95026.010625,87,1.47266,43469.7747894,0
2023-05-06 00:14:00,29516.99,29517.0,29511.59,29514.26,1.25534,1683332099999,37049.542514,63,0.4697,13861.7755436,0
2023-05-06 00:15:00,29514.26,29517.42,29514.25,29517.42,0.4245,1683332159999,12529.2857872,30,0.27601,8146.2749384,0
2023-05-06 00:16:00,29517.41,29519.62,29512.35,29512.35,5.00222,1683332219999,147651.1080832,95,3.91907,115678.0845379,0
2023-05-06 00:17:00,29510.24,29510.25,29504.23,29504.24,2.55372,1683332279999,75351.2865051,98,0.92278,27226.0552615,0
2023-05-06 00:18:00,29504.24,29516.73,29503.75,29516.73,3.90386,1683332339999,115192.7632583,110,1.59808,47153.5207005,0
2023-05-06 00:19:00,29516.73,29524.61,29512.48,29524.6,2.33888,1683332399999,69032.063686,72,1.95041,57564.6869077,0
2023-05-06 00:20:00,29524.6,29524.61,29524.35,29524.36,0.74953,1683332459999,22129.5469927,58,0.1471,4343.0571284,0
2023-05-06 00:21:00,29524.35,29524.36,29524.35,29524.35,0.74126,1683332519999,21885.2206417,52,0.09607,2836.4052652,0
2023-05-06 00:22:00,29524.35,29525.68,29524.35,29525.67,1.05541,1683332579999,31160.8629527,38,0.35886,10595.2623066,0
2023-05-06 00:23:00,29525.68,29567.86,29525.67,29567.86,5.83579,1683332639999,172384.836614,251,4.99224,147471.2305195,0
2023-05-06 00:24:00,29567.85,29602.7,29565.28,29588.22,27.02897,1683332699999,799692.0452266,660,13.45951,398191.0661895,0
2023-05-06 00:25:00,29588.23,29590.14,29523.85,29540.0,7.20414,1683332759999,212891.060199,371,2.75303,81339.0853188,0
2023-05-06 00:26:00,29540.0,29565.84,29540.0,29550.01,1.1587,1683332819999,34248.0292345,108,0.91025,26903.5662057,0
2023-05-06 00:27:00,29550.0,29554.49,29527.22,29528.63,5.05435,1683332879999,149294.6056632,141,2.05329,60644.6934032,0
2023-05-06 00:28:00,29528.63,29548.84,29528.62,29548.84,0.9116,1683332939999,26926.1679001,71,0.68057,20101.1372229,0
2023-05-06 00:29:00,29549.99,29561.68,29544.92,29561.68,1.87475,1683332999999,55404.8602443,83,0.78655,23240.9938919,0
2023-05-06 00:30:00,29562.41,29569.36,29555.72,29563.35,3.47882,1683333059999,102849.5174147,110,1.31092,38751.3940661,0
2023-05-06 00:31:00,29563.36,29579.23,29563.35,29578.13,4.22113,1683333119999,124825.8825558,151,1.6863,49861.8303108,0
2023-05-06 00:32:00,29578.13,29625.6,29578.13,29621.16,9.72043,1683333179999,287784.8219251,476,4.66978,138227.46166,0
2023-05-06 00:33:00,29621.16,29627.97,29583.34,29606.87,5.07538,1683333239999,150234.8161104,188,2.42738,71848.4831188,0
2023-05-06 00:34:00,29606.87,29632.45,29600.03,29614.13,7.1022,1683333299999,210344.7089841,188,4.09828,121370.0154324,0
2023-05-06 00:35:00,29610.1,29629.7,29601.83,29629.7,4.76259,1683333359999,141034.0351335,125,2.06621,61178.6997095,0
2023-05-06 00:36:00,29629.7,29772.72,29607.56,29759.99,105.32981,1683333419999,3130618.3964983,2956,57.71022,1714644.1511633,0
2023-05-06 00:37:00,29760.0,29826.62,29734.63,29786.75,79.14391,1683333479999,2357318.8159772,2131,42.60188,1268981.7251644,0
2023-05-06 00:38:00,29778.03,29802.94,29765.0,29793.89,10.75498,1683333539999,320340.9553993,400,6.31901,188199.3848081,0
2023-05-06 00:39:00,29794.03,29828.38,29782.73,29784.84,27.23201,1683333599999,811802.3163219,444,7.37109,219721.4369564,0
2023-05-06 00:40:00,29784.85,29790.8,29718.42,29726.8,12.50267,1683333659999,371944.6079777,480,6.77249,201447.979698,0
2023-05-06 00:41:00,29730.0,29759.8,29714.01,29759.79,11.27128,1683333719999,335124.1116804,325,5.47162,162672.8645356,0
2023-05-06 00:42:00,29759.79,29769.99,29720.46,29725.05,7.20121,1683333779999,214223.1034447,237,4.44096,132109.061693,0
2023-05-06 00:43:00,29725.04,29733.74,29711.25,29712.1,3.87272,1683333839999,115096.7318389,156,1.55295,46143.9695923,0
2023-05-06 00:44:00,29712.09,29712.09,29690.26,29699.68,9.32584,1683333899999,276950.956858,312,4.14603,123111.2730636,0
